name,description_text,image_url,size,type,habitat,challenge_rating,armor_class,hit_points,speed,abilities,skills,senses,special_abilities,actions,behavior,diet,domesticable,rideable,exp_value,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id,token_url
Crabe Géant,Énorme crustacé des profondeurs. Sa chair est un mets délicat mais dangereux à pêcher.,,Moyen,Crustacé,"Fonds marins, récifs",0.125,15,13,"6 m, nage 9 m",,,Vision aveugle 9 m,,,"Territorial, défensif",Carnivore,FALSE,FALSE,25,68e2942fdf16a667f1f97032,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Escargot Géant,Gros escargot comestible. Considéré comme un délice dans certaines cultures.,,Petit,Mollusque,"Forêts humides, jardins",0,10,2,1.5 m,,,Vision aveugle 3 m,,,"Lent, inoffensif",Herbivore,TRUE,FALSE,0,68e2942fdf16a667f1f97033,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Bœuf des Plaines,Grand bovin domestique. Source principale de viande rouge et de lait.,,Grand,Mammifère,"Prairies, fermes",0.25,10,15,9 m,,,Vision normale,,,"Calme, grégaire",Herbivore,TRUE,FALSE,50,68e2942fdf16a667f1f97034,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Canard Sauvage,"Oiseau aquatique migrateur. Chair savoureuse, particulièrement le magret.",,Très petit,Oiseau,"Lacs, étangs, rivières",0,11,2,"6 m, vol 15 m, nage 9 m",,,Vision normale,,,"Méfiant, migrateur",Omnivore,TRUE,FALSE,0,68e2942fdf16a667f1f97035,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Pieuvre des Récifs,Céphalopode intelligent des eaux peu profondes. Chair tendre très appréciée.,,Petit,Mollusque,"Récifs coralliens, côtes rocheuses",0,12,3,"1.5 m, nage 9 m",,,Vision sombre 9 m,,,"Curieux, camoufle",Carnivore,FALSE,FALSE,10,68e2942fdf16a667f1f97036,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Sanglier des Bois,Grand sanglier sauvage à la chair savoureuse. Agressif quand acculé.,,Moyen,Mammifère,"Forêts tempérées, taillis",0.25,11,11,12 m,,,Odorat aiguisé,,,"Territorial, charge si menacé",Omnivore,FALSE,FALSE,50,68e29304062c229af79b9c63,2025-10-05T15:47:16.164000,2025-10-05T15:47:16.164000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Lapin Lunaire,Lapin blanc aux yeux argentés. Sa chair est tendre et légèrement sucrée.,,Très petit,Mammifère,"Clairières, prairies sous la lune",0,13,1,12 m,,,Vision nocturne 18 m,,,"Très craintif, fuit au moindre danger",Herbivore,TRUE,FALSE,10,68e29304062c229af79b9c64,2025-10-05T15:47:16.164000,2025-10-05T15:47:16.164000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Poisson Cristallin,Poisson translucide des lacs de montagne. Chair délicate au goût pur.,,Très petit,Poisson,"Lacs de montagne purs, rivières glacées",0,12,1,Nage 12 m,,,Vision normale,,,"Nage en bancs, fuit les prédateurs",Insectivore,FALSE,FALSE,0,68e29304062c229af79b9c65,2025-10-05T15:47:16.164000,2025-10-05T15:47:16.164000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Volaille Dorée,Oiseau au plumage doré élevé pour sa chair exceptionnelle.,,Petit,Oiseau,"Fermes, basses-cours nobles",0,10,3,"3 m, vol 15 m",,,Vision normale,,,"Docile, grégaire",Omnivore,TRUE,FALSE,10,68e29304062c229af79b9c66,2025-10-05T15:47:16.164000,2025-10-05T15:47:16.164000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cerf Majestueux,Grand cerf aux bois imposants. Chair noble et savoureuse.,,Grand,Mammifère,"Forêts anciennes, montagnes",0.25,13,13,15 m,,,"Vision nocturne, odorat développé",,,"Méfiant, majestueux, fuit les menaces",Herbivore,FALSE,FALSE,50,68e29304062c229af79b9c67,2025-10-05T15:47:16.164000,2025-10-05T15:47:16.164000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Thundrak Fracasse-Enclume,Bélier titanesque aux cornes métalliques capables de sonner comme des cloches. Les forgerons nains utilisent le son de ses cornes pour tester la qualité de leurs œuvres et maintenir le rythme de la forge.,,Grand,Mammifère,"Montagnes, forges naines, prairies alpines",3,14,52,"12m, escalade 9m",,,Perception passive 11,,,"Docile et travailleur, le Thundrak est un compagnon précieux dans les forges naines. Son sens du rythme est parfait et les forgerons synchronisent leurs coups de marteau sur ses sonneries. Peut servir de monture en montagne.",Herbivore,TRUE,TRUE,700,68e22e96f714beeab91efc25,2025-10-05T08:38:46.955000,2025-10-05T08:38:46.955000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Vrakshnar Chasseur-de-Sang,"Rapace nocturne massif aux plumes noires comme la nuit et au bec crochu teinté de rouge. Animal de chasse sacré des chamans orcs, capable de traquer ses proies sur des centaines de kilomètres.",,Grand,Oiseau,"Terres désolées, canyons, territoires de chasse orcs",4,14,68,"3m au sol, 24m en vol",,,"Vision dans le noir 36m, Perception passive 18",,,"Prédateur patient et impitoyable, le Vrakshnar ne lâche jamais sa proie une fois marquée. Les chamans orcs l'utilisent pour traquer les ennemis en fuite ou retrouver les proies blessées. Symbole de persévérance et de vengeance inéluctable.",Carnivore,TRUE,TRUE,1100,68e22e96f714beeab91efc26,2025-10-05T08:38:46.955000,2025-10-05T08:38:46.955000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Crystalyn Chante-Glace,Magnifique oiseau des neiges dont les plumes sont faites de cristaux de glace vivante. Son chant peut geler l'eau et créer des sculptures de givre éphémères. Vénéré par les elfes des montagnes.,,Petit,Oiseau,"Sommets enneigés, glaciers, forêts de conifères nordiques",1,14,22,"6m, vol 18m",,,Perception passive 12,,,"Artistique et gracieux, le Crystalyn crée des œuvres d'art éphémères en givre. Les elfes nordiques le considèrent comme un messager des esprits de l'hiver. Son chant au lever du soleil est considéré comme de bon augure.",Insectivore,TRUE,FALSE,200,68e22e96f714beeab91efc21,2025-10-05T08:38:46.954000,2025-10-05T08:38:46.954000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Groknash Mange-Roc,Imposant ver de terre cuirassé capable de dévorer la pierre comme de la terre. Les nains l'utilisent pour creuser de nouveaux tunnels et détecter les veines de minerai précieux en analysant ses excréments.,,Très grand,Insecte,"Profondeurs souterraines, mines naines, tunnels rocheux",5,16,102,"9m, fouissement 12m",,,"Tremblesens 18m, Perception passive 10",,,"Créature docile mais puissante, essentielle aux opérations minières naines. Lent mais infatigable, il creuse jour et nuit. Ses excréments sont analysés par les géologues pour identifier les gisements. Considéré comme un trésor vivant.",Omnivore,TRUE,FALSE,1800,68e22e96f714beeab91efc22,2025-10-05T08:38:46.954000,2025-10-05T08:38:46.954000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Zal'marak Hurleur-de-Guerre,"Loup géant mutant aux trois têtes, chacune hurlant un cri de guerre différent. Animal totémique des clans orcs les plus féroces, symbole de rage et de domination.",,Grand,Mammifère,"Terres désolées, champs de bataille, territoires de clans orcs",5,14,85,15m,,,"Vision dans le noir 18m, Perception passive 16",,,Extrêmement agressif et loyal envers son maître orc. Les trois têtes pensent indépendamment mais agissent en harmonie au combat. Symbole de statut pour les chefs de guerre orcs. Son hurlement peut briser le moral des armées ennemies.,Carnivore,TRUE,TRUE,1800,68e22e96f714beeab91efc23,2025-10-05T08:38:46.954000,2025-10-05T08:38:46.954000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Silmarien Gardien-de-Rêves,"Gracieux félin ailé aux yeux opalescents, capable de marcher dans les rêves et de protéger les dormeurs. Compagnon mystique des nobles elfiques, gardien des chambres et des sanctuaires.",,Moyen,Mammifère,"Palais elfiques, sanctuaires, chambres sacrées",3,15,45,"12m, vol 15m",,,"Vision dans le noir 18m, Perception passive 16",,,Protecteur loyal et mystique des elfes nobles. Passe ses nuits à patrouiller les rêves de sa maisonnée pour les protéger. Extrêmement intelligent et empathique. Peut détecter les menaces avant qu'elles ne se manifestent.,Carnivore,TRUE,FALSE,700,68e22e96f714beeab91efc24,2025-10-05T08:38:46.954000,2025-10-05T08:38:46.954000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Sylvandris Marche-Racine,Imposant cerf dont les bois sont des branches vivantes couvertes de feuillage et de fleurs. Chaque pas fait croître des plantes et revitalise la terre. Gardien sacré des forêts elfiques anciennes.,,Grand,Mammifère,"Forêts anciennes, bosquets sacrés, sanctuaires naturels elfiques",3,13,52,15m,,,"Vision dans le noir 18m, Perception passive 16",,,"Protecteur bienveillant des forêts, le Sylvandris ne combat que pour défendre la nature. Les elfes le considèrent comme un avatar de la déesse de la nature. Sa présence garantit l'abondance et la fertilité.",Herbivore,FALSE,TRUE,700,68e22da0353804f7b41cd15a,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Throk'nar Écrase-Crâne,"Sanglier titanesque aux défenses de fer, élevé par les orcs pour la guerre. Ses charges sont dévastatrices et sa rage au combat est légendaire. Monture de guerre des chefs de guerre orcs.",,Très grand,Mammifère,"Terres sauvages, champs de bataille, enclos de guerre orcs",5,15,85,12m,,,Perception passive 10,,,Extrêmement agressif et territorial. Utilisé comme monture de guerre par les chefs orcs d'élite. Sa charge peut briser les lignes ennemies. Loyal envers son cavalier mais hostile à tous les autres.,Omnivore,TRUE,TRUE,1800,68e22da0353804f7b41cd15b,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Nuviel Danse-Vent,Gracieuse créature aviaire ressemblant à une hirondelle géante aux plumes iridescentes. Capable de chevaucher les courants éoliens et de créer des bourrasques. Messager rapide des royaumes elfiques.,,Moyen,Oiseau,"Hautes tours elfiques, falaises venteuses, cieux dégagés",1,15,27,"6m, vol 24m",,,Perception passive 14,,,"Loyal et intelligent, le Nuviel sert souvent de messager entre les cités elfiques. Sa vitesse et sa grâce en font un coursier aérien prisé. Sociable et joueur avec ceux qu'il connaît.",Insectivore,TRUE,TRUE,200,68e22da0353804f7b41cd15c,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Forgebrul Souffle-Forge,Salamandre géante métallique dont le corps génère une chaleur intense. Les nains l'élèvent dans leurs forges où elle aide à maintenir les températures extrêmes nécessaires au travail des métaux rares.,,Moyen,Reptile,"Forges naines, chambres magmatiques, volcans",2,14,38,"9m, escalade 9m",,,"Vision dans le noir 18m, Perception passive 10",,,Docile et précieux pour les forgerons nains. Passe la majorité de son temps dans les braises des forges. Sa présence est considérée comme un signe de chance pour un atelier. Craint l'eau et le froid.,Carnivore,TRUE,FALSE,450,68e22da0353804f7b41cd15d,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Grishtak Crâne-Fendu,"Lézard cuirassé de la taille d'un cheval, au crâne osseux épais comme du roc. Les orcs l'utilisent comme bélier vivant et bête de somme. Tête quasi-indestructible capable de défoncer les murs.",,Grand,Reptile,"Déserts rocheux, badlands, camps militaires orcs",3,16,59,9m,,,Perception passive 9,,,"Têtu et agressif mais loyal envers son dresseur orc. Utilisé pour défoncer les portes et transporter du matériel de siège. Sa charge est dévastatrice. Mange n'importe quoi, y compris le bois et le cuir.",Omnivore,TRUE,TRUE,700,68e22da0353804f7b41cd15e,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Lúmenis Porte-Lumière,Luciole géante au corps translucide rempli de lumière vivante. Sa bioluminescence peut éclairer comme le jour ou créer des illusions fascinantes. Gardienne des bibliothèques elfiques anciennes.,,Petit,Insecte,"Bibliothèques elfiques, forêts enchantées, grottes à cristaux",0.5,13,18,"3m, vol 12m",,,"Vision dans le noir 36m, Perception passive 12",,,"Paisible et curieuse, la Lúmenis aide les érudits elfes dans leurs recherches en éclairant les manuscrits anciens. Sa lumière préserve également les documents fragiles. Considérée comme un gardien du savoir.",Herbivore,TRUE,FALSE,100,68e22da0353804f7b41cd15f,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Brondar Marche-Pierre,Tortue montagneuse géante dont la carapace est composée de strates rocheuses stratifiées. Les géologues nains peuvent lire l'histoire de la terre sur sa coquille. Vit des siècles et témoigne des ères géologiques.,,Très grand,Reptile,"Hautes montagnes, plateaux rocheux, cavernes anciennes",4,20,95,6m,,,"Tremblesens 18m, Perception passive 13",,,Extrêmement lent et paisible. Se nourrit de lichens et de mousses millénaires. Les nains le vénèrent comme témoin vivant de l'histoire de la terre. Sa carapace est une archive naturelle inestimable. Peut dormir pendant des décennies.,Herbivore,FALSE,TRUE,1100,68e22da0353804f7b41cd160,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Vor'gath Marchombre,"Grand félin spectral aux yeux rouges luisants et au pelage qui absorbe la lumière. Chasseur nocturne des terres orcs, capable de se fondre dans les ombres et de traquer ses proies silencieusement pendant des jours.",,Grand,Mammifère,"Forêts sombres, cavernes, ruines, territoires orcs nocturnes",4,15,68,"15m, escalade 12m",,,"Vision dans le noir 36m, Perception passive 14",,,"Prédateur solitaire et patient, le Vor'gath peut traquer sa proie pendant des jours sans être détecté. Les chamans orcs le considèrent comme un esprit vengeur. Certains guerriers orcs d'élite en apprivoisent comme montures de chasse nocturne.",Carnivore,TRUE,TRUE,1100,68e22da0353804f7b41cd161,2025-10-05T08:34:40.723000,2025-10-05T08:34:40.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Zhar'gul Dévore-Os,Monstrueuse hyène blindée aux mâchoires capables de broyer la pierre. Élevée par les clans orcs pour ses capacités à dévorer armures et armes des ennemis tombés.,,Moyen,Mammifère,"Terres désolées, champs de bataille, territoires orcs",2,14,39,12m,,,"Vision dans le noir 18m, Perception passive 10",,,"Agressif et tenace, le Zhar'gul ne lâche jamais prise une fois qu'il a mordu. Les orcs l'utilisent pour détruire les équipements ennemis et terrifier leurs adversaires. Se nourrit de tout.",Omnivore,TRUE,FALSE,450,68e22d00c1e25d4ab005955d,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Elendril Tisseur-de-Brume,"Araignée gracile aux pattes translucides comme du cristal, capable de tisser des toiles de brume enchantée. Créature vénérée par les elfes pour ses soies précieuses.",,Petit,Arachnide,"Forêts embrumées, bosquets elfiques, vallées brumeuses",0.5,14,16,"9m, escalade 9m",,,"Vision aveugle 3m, Vision dans le noir 18m, Perception passive 12",,,"Timide et artistique, l'Elendril crée des œuvres d'art éphémères avec ses toiles brumeuses. Les elfes récoltent sa soie pour créer des vêtements enchantés. Fuit plutôt que de combattre.",Insectivore,TRUE,FALSE,100,68e22d00c1e25d4ab005955e,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Durathor Pierre-Vive,Tortue couverte de cristaux géologiques vivants qui croissent sur sa carapace. Les nains l'élèvent pour récolter des gemmes et utilisent sa carapace comme référence pour identifier les mineraux.,,Moyen,Reptile,"Cavernes profondes, mines naines, grottes cristallines",1,18,32,6m,,,"Vision dans le noir 18m, Tremblesens 9m, Perception passive 11",,,"Lent et paisible, le Durathor est un animal de compagnie apprécié des familles naines. Sa carapace sert d'encyclopédie vivante des formations minérales. Peut vivre plusieurs siècles.",Herbivore,TRUE,FALSE,200,68e22d00c1e25d4ab005955f,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Shivrael Aile-Givrée,Magnifique papillon de nuit géant aux ailes recouvertes de givre éternel. Chaque battement d'ailes libère une poudre glaciale scintillante. Messager des royaumes hivernaux.,,Moyen,Insecte,"Toundras, sommets enneigés, forêts boréales, plans élémentaires du Froid",1,13,22,"3m, vol 15m",,,"Vision dans le noir 18m, Perception passive 11",,,"Créature nocturne et paisible, attirée par la lumière des étoiles et les aurores boréales. Les chamans nordiques croient qu'elle transporte les rêves des dormeurs vers les royaumes spirituels.",Herbivore,TRUE,FALSE,200,68e22d00c1e25d4ab0059560,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Grukh'tar Mange-Roche,Énorme ver blindé aux mandibules capables de creuser la roche la plus dure. Élevé par les orcs et gobelins pour creuser des tunnels et dévorer les fortifications ennemies.,,Grand,Insecte,"Souterrains profonds, mines abandonnées, cavernes orcs",3,16,58,"9m, fouissement 9m",,,"Vision aveugle 18m, Tremblesens 18m, Perception passive 9",,,Créature aveugle qui détecte les vibrations. Utilisée comme arme de siège vivante par les armées orcs. Peut effondrer des murailles entières en quelques heures. Docile si bien nourri.,Omnivore,TRUE,FALSE,700,68e22d00c1e25d4ab0059561,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Míriel Chante-Étoiles,Oiseau nocturne diaphane dont le plumage reflète les constellations. Son chant mélodieux peut apaiser les âmes tourmentées et guider les voyageurs perdus.,,Petit,Oiseau,"Tours elfiques, sommets de montagnes sacrées, jardins célestes",0.25,12,10,"3m, vol 18m",,,"Vision dans le noir 36m, Perception passive 15",,,"Messager et guide des elfes, le Míriel est considéré comme sacré. Son chant peut apaiser même les cœurs les plus troublés. On dit qu'il transporte les prières vers les divinités stellaires.",Insectivore,TRUE,FALSE,50,68e22d00c1e25d4ab0059562,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Kazdurum Corne-d'Acier,"Bélier mécanique partiellement construit, fusion de chair et d'engrenages nains. Ses cornes d'acier peuvent enfoncer les portes les plus solides. Chef-d'œuvre d'ingénierie naine.",,Grand,Mammifère,"Forteresses naines, salles d'ingénierie, champs de bataille",4,17,68,12m,,,"Vision dans le noir 18m, Perception passive 10",,,Docile et obéissant envers ses maîtres nains. Utilisé pour enfoncer les fortifications ennemies et transporter de lourdes charges. Nécessite un entretien régulier de ses parties mécaniques.,Omnivore,TRUE,TRUE,1100,68e22d00c1e25d4ab0059563,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Vrakka Crocs-de-Poison,"Serpent à sonnettes géant aux écailles noires et vertes, dont le venin provoque des hallucinations terrifiantes. Animal totémique des chamans orcs du désert.",,Grand,Reptile,"Déserts, badlands, canyons, camps orcs nomades",3,14,45,"9m, nage 9m",,,"Vision aveugle 3m, Perception passive 13",,,Chasseur embuscade patient et territorial. Les chamans orcs utilisent son venin dans leurs rituels visionnaires. Considéré comme messager des esprits du désert. Craint et respecté.,Carnivore,TRUE,FALSE,700,68e22d00c1e25d4ab0059564,2025-10-05T08:32:00.028000,2025-10-05T08:32:00.028000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Aelindris Lumineux,"Gracieux cervidé aux bois cristallins qui émettent une douce lumière argentée. Créature sacrée des forêts elfiques, son apparition est considérée comme un présage de paix.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/71dabc5f4_AelindrisLumineux.png,Moyen,Mammifère,"Forêts anciennes, clairières sacrées, bosquets elfiques",1,14,26,15m,,,"Vision dans le noir 18m, Perception passive 15",,,"Timide et pacifique, l'Aelindris fuit généralement les dangers. Les elfes le considèrent sacré et le protègent farouchement. Sa lumière repousse les créatures des ténèbres.",Herbivore,TRUE,FALSE,200,68e22c50236eaaf8856d8350,2025-10-05T08:29:04.309000,2025-11-14T14:38:02.612000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,690f88707ca28b390273316f,
Kragzar des Montagnes,"Massif bovin de montagne à la fourrure épaisse et aux cornes de pierre. Élevé par les nains pour sa force, son endurance et sa capacité à détecter les veines de minerai.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/d0f1ec9bd_KragzardesMontagnes.png,Grand,Mammifère,"Montagnes, tunnels souterrains, forteresses naines",2,13,45,9m,,,"Vision dans le noir 18m, Perception passive 13, Tremblesens 9m",,,Docile et loyal envers ses maîtres nains. Têtu mais travailleur infatigable. Peut détecter l'instabilité structurelle dans les tunnels. Protecteur du troupeau.,Herbivore,TRUE,TRUE,450,68e22c50236eaaf8856d8351,2025-10-05T08:29:04.309000,2025-11-14T14:48:52.829000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Ghul'rakka Charognard,"Répugnante créature à six pattes ressemblant à une hyène mutante, avec une mâchoire surdimensionnée. Animal totémique des tribus orcs, symbole de survie et de férocité.",https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/4e535e2e2_GhulrakkaCharognard.png,Moyen,Mammifère,"Terres désolées, champs de bataille, camps orcs",1,12,32,12m,,,"Vision dans le noir 18m, Perception passive 12",,,Agressif et opportuniste. Chasse en meute avec une coordination brutale mais efficace. Les orcs les élèvent pour nettoyer les champs de bataille et comme bêtes de guerre.,Carnivore,TRUE,FALSE,200,68e22c50236eaaf8856d8352,2025-10-05T08:29:04.309000,2025-11-14T14:30:16.059000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Sylphora Papillonée,Magnifique créature hybride entre un papillon géant et un félin ailé. Ses ailes iridescentes laissent une traînée de pollen magique. Créature adorée des druides.,,Petit,Créature aquatique,"Jardins enchantés, clairières fleuries, plans féeriques",0.5,15,18,"6m, vol 18m",,,Perception passive 14,,,"Douce et curieuse, attirée par les fleurs et la magie de la nature. Fuit les conflits mais peut défendre son territoire avec son pollen soporifique. Symbole de transformation et renouveau.",Herbivore,TRUE,FALSE,100,68e22c50236eaaf8856d8353,2025-10-05T08:29:04.309000,2025-10-05T08:29:04.309000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
