name,description_text,image_url,type,subtype,rarity,quality,source,source_creature,harvest_method,harvest_difficulty,required_tool,processing,uses,properties,magical_properties,market_value,weight,unit,stack_size,durability,combinations,storage_conditions,preservation_time,crafting_bonus,lore,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Chocolat Noir,Tablette de chocolat amer importé. Riche et intense.,,autre,,Peu commun,Excellente,Fèves de cacao des îles lointaines,,,Moyen,,,,,,5,100g,pièce,,,,Au frais et au sec,1 an,,,,68e295d4d669d09f29993ccf,2025-10-05T15:59:16.660000,2025-10-05T15:59:16.660000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sucre Blanc,Cristaux blancs sucrés. Raffiné et pur.,,autre,,Commun,Moyenne,Canne à sucre ou betterave,,,Moyen,,,,,,1,500g,pièce,,,,Au sec,Indéfini,,,,68e295d4d669d09f29993cd0,2025-10-05T15:59:16.660000,2025-10-05T15:59:16.660000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pâtes Sèches,Pâtes de blé dur séchées. Se conservent longtemps.,,autre,,Commun,Moyenne,Artisan pastaier,,,Moyen,,,,,,0.8,500g,pièce,,,,Au sec,2 ans,,,,68e295d4d669d09f29993cd1,2025-10-05T15:59:16.660000,2025-10-05T15:59:16.660000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Civet de Lapin,Découpe complète d'un lapin prête à cuisiner. Viande maigre et tendre.,,partie_animal,,Commun,Bonne,Lapin de Garenne,Lapin de Garenne,Chasse et dépeçage,Facile,,,,,,2,1.2kg,pièce,,,,Au frais,3 jours,,,,68e2952e0b5bce32ea0851bd,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Venaison de Cerf,"Viande noble de cerf. Sombre, maigre et au goût fin de gibier.",,partie_animal,,Peu commun,Excellente,Cerf Noble,Cerf Noble,Chasse et boucherie spécialisée,Moyen,,,,,,12,1kg,pièce,,,,Faisander puis conserver au frais,1 semaine,,,,68e2952e0b5bce32ea0851be,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Côtelettes de Sanglier,Viande de sanglier sauvage. Plus sombre et goûteuse que le porc domestique.,,partie_animal,,Commun,Bonne,Sanglier Furieux,Sanglier Furieux,Chasse dangereuse et dépeçage,Moyen,,,,,,5,1kg,pièce,,,,Faisander puis au frais,1 semaine,,,,68e2952e0b5bce32ea0851bf,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Faisan Plumé,Faisan entier prêt à cuire. Viande raffinée au goût délicat.,,partie_animal,,Peu commun,Excellente,Faisan Doré,Faisan Doré,Chasse et plumage délicat,Moyen,,,,,,8,800g,pièce,,,,Faisander 3-5 jours,5 jours faisandé,,,,68e2952e0b5bce32ea0851c0,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Huîtres Perlières (douzaine),Mollusques frais au goût iodé. Peuvent contenir des perles rares.,,partie_animal,,Peu commun,Excellente,Huître Perlière Géante,Huître Perlière Géante,Plongée et ouverture délicate,Moyen,,,,,,15,600g,pièce,,,,"Vivantes, sur glace",3 jours vivantes,,,,68e2952e0b5bce32ea0851c1,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Queue de Langouste,Chair exceptionnelle de langouste. Mets de luxe prisé des nobles.,,partie_animal,,Rare,Exceptionnelle,Langouste Rouge,Langouste Rouge,Pêche en plongée nocturne,Difficile,,,,,,25,400g,pièce,,,,Sur glace immédiatement,1 jour,,,,68e2952e0b5bce32ea0851c2,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Foie Gras d'Oie,Foie hypertrophié d'oie gavée. Délicatesse onctueuse ultra-prisée.,,partie_animal,,Rare,Exceptionnelle,Oie Grasse,Oie Grasse,Élevage spécialisé et gavage,Difficile,,,,,,50,500g,pièce,,,,Au frais absolu,1 semaine mi-cuit,,,,68e2952e0b5bce32ea0851c3,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Filet de Saumon Royal,Chair rose délicate et grasse. Riche en saveurs marines.,,partie_animal,,Peu commun,Excellente,Saumon Royal,Saumon Royal,Pêche en rivière lors de la migration,Moyen,,,,,,8,600g,pièce,,,,Sur glace,3 jours frais,,,,68e2952e0b5bce32ea0851c4,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sang de Troll,Liquide verdâtre épais qui se régénère. Propriétés curatives extraordinaires.,,partie_monstre,sang,Rare,Bonne,Troll,Troll,Prélèvement pendant combat ou après mise à terre,Très difficile,,,,,Régénération tissulaire rapide,100,500ml,pièce,,,,Fiole hermétique,1 mois en fiole scellée,,,,68e2952e0b5bce32ea0851c5,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Truffe Noire Impériale,Champignon souterrain ultra-rare. Parfum et saveur incomparables.,,autre,,Légendaire,Exceptionnelle,"Forêts anciennes, racines de chênes centenaires",,Recherche avec cochons ou chiens truffiers,Très difficile,,,,,,200,50g,pièce,,,,Dans du riz au frais,10 jours,,,,68e2952e0b5bce32ea0851c6,2025-10-05T15:56:30.605000,2025-10-05T15:56:30.605000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Filet de Truite Argentée,Filet de poisson délicat aux reflets argentés. Chair fine et savoureuse.,,partie_animal,,Commun,Bonne,Truite Argentée,Truite Argentée,Pêche et filetage délicat,Facile,,,,,,3,200g,pièce,,,,Sur glace,"1 jour frais, 1 semaine fumé",,,,68e29430df16a667f1f97037,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lard de Cochon Noir,Graisse de porc épaisse et savoureuse. Essentielle pour la cuisine rustique.,,partie_animal,,Commun,Moyenne,Cochon Noir,Cochon Noir,Découpe après abattage,Facile,,,,,,2,1kg,pièce,,,,Au frais ou fumé,6 mois fumé,,,,68e29430df16a667f1f97038,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chair de Cochon Noir,Viande de porc tendre et grasse. Polyvalente en cuisine.,,partie_animal,,Commun,Bonne,Cochon Noir,Cochon Noir,Dépeçage traditionnel,Facile,,,,,,4,1kg,pièce,,,,Au frais,5 jours frais,,,,68e29430df16a667f1f97039,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chair de Crabe Géant,Viande blanche délicate extraite des pinces et du corps. Mets de luxe.,,partie_animal,,Peu commun,Excellente,Crabe Géant,Crabe Géant,Extraction après cuisson,Moyen,,,,,,18,500g,pièce,,,,Sur glace immédiatement,2 jours,,,,68e29430df16a667f1f9703a,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Escargots Géants (douzaine),Mollusques comestibles de grande taille. Texture unique appréciée.,,partie_animal,,Commun,Moyenne,Escargot Géant,Escargot Géant,Récolte et nettoyage,Très facile,,,,,,6,300g,pièce,,,,"Au frais, humide",3 jours vivants,,,,68e29430df16a667f1f9703b,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Viande de Bœuf,Viande rouge de qualité. Base de nombreux plats traditionnels.,,partie_animal,,Commun,Bonne,Bœuf des Plaines,Bœuf des Plaines,Abattage et découpe professionnelle,Moyen,,,,,,6,1kg,pièce,,,,Au frais,1 semaine au frais,,,,68e29430df16a667f1f9703c,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Magret de Canard,Filet de poitrine de canard. Viande rouge tendre et goûteuse.,,partie_animal,,Commun,Bonne,Canard Sauvage,Canard Sauvage,Découpe après plumage,Facile,,,,,,7,300g,pièce,,,,Au frais,4 jours,,,,68e29430df16a667f1f9703d,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tentacules de Pieuvre,Tentacules charnues au goût iodé. Texture particulière prisée.,,partie_animal,,Peu commun,Bonne,Pieuvre des Récifs,Pieuvre des Récifs,Nettoyage et préparation,Facile,,,,,,10,400g,pièce,,,,Sur glace,2 jours,,,,68e29430df16a667f1f9703e,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corne de Licorne (fragment),Fragment de la corne d'une licorne. Purifie tout liquide qu'elle touche.,,partie_monstre,corne,Légendaire,Exceptionnelle,Licorne (uniquement récupérée après mort naturelle),Licorne,Récupération éthique uniquement,Très difficile,,,,,Purifie et neutralise tous poisons et maladies,10000,50g,pièce,,,,N'importe où,Infini,,,,68e29430df16a667f1f9703f,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Foie de Chimère,Organe tricolore d'une chimère. Contient l'essence de trois créatures.,,partie_monstre,organe,Très rare,Exceptionnelle,Chimère,Chimère,Extraction rapide après la mort,Très difficile,,,,,Confère des capacités multiples temporairement,500,1kg,pièce,,,,Dans l'alcool fort,1 semaine dans l'alcool,,,,68e29430df16a667f1f97040,2025-10-05T15:52:16.054000,2025-10-05T15:52:16.054000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Viande de Sanglier,"Viande rouge foncée, riche et savoureuse. Excellente pour les ragoûts.",,partie_animal,,Commun,Bonne,Sanglier des Bois,Sanglier des Bois,Dépeçage après chasse,Facile,,,,,,5,1 kg,pièce,,,,Au frais ou fumé,"3 jours frais, 1 mois fumé",,,,68e29304062c229af79b9c68,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chair de Lapin Lunaire,Viande blanche tendre avec une légère luminescence. Goût délicat.,,partie_animal,,Peu commun,Excellente,Lapin Lunaire,Lapin Lunaire,Dépeçage délicat,Facile,,,,,Confère une vision nocturne faible,15,500g,pièce,,,,"Au frais, à l'abri de la lumière",2 jours frais,,,,68e29304062c229af79b9c69,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Filet de Poisson Cristallin,Chair translucide qui semble contenir de l'eau pure. Extrêmement délicat.,,partie_animal,,Rare,Exceptionnelle,Poisson Cristallin,Poisson Cristallin,"Pêche délicate, filetage expert",Difficile,,,,,Purifie l'organisme,25,200g,pièce,,,,Sur glace immédiatement,1 jour,,,,68e29304062c229af79b9c6a,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Volaille Dorée (entière),Volaille complète au plumage doré. Chair juteuse et savoureuse.,,partie_animal,,Commun,Bonne,Volaille Dorée,Volaille Dorée,Abattage et plumage,Facile,,,,,,8,2 kg,pièce,,,,Au frais,4 jours frais,,,,68e29304062c229af79b9c6b,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Venaison de Cerf,Viande noble et maigre du cerf. Saveur riche et forestière.,,partie_animal,,Peu commun,Excellente,Cerf Majestueux,Cerf Majestueux,Dépeçage expert,Moyen,,,,,,20,1 kg,pièce,,,,Au frais ou fumé,"5 jours frais, 2 mois fumé",,,,68e29304062c229af79b9c6c,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Écaille de Basilic,Écaille dure avec un léger éclat pétrifiant. Doit être soigneusement préparée.,,partie_monstre,écaille,Rare,Bonne,Basilic,Basilic,Extraction après neutralisation du regard,Très difficile,,,,,"Réduite en poudre, fortifie les os",50,50g,pièce,,,,"Sec, dans un récipient en plomb",Indéfini,,,,68e29304062c229af79b9c6d,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Langue de Troll,Organe régénératif d'un troll. Continue de se régénérer même après la mort.,,partie_monstre,organe,Rare,Moyenne,Troll,Troll,Extraction rapide après mise à feu,Difficile,,,,,Propriétés régénératives,100,500g,pièce,,,,Dans l'acide pour arrêter la régénération,Continue de repousser,,,,68e29304062c229af79b9c6e,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Viande de Bulette,Chair coriace mais nourrissante du 'requin terrestre'. Goût de gibier fort.,,partie_monstre,viande,Rare,Moyenne,Bulette,Bulette,Dépeçage avec outils renforcés,Difficile,,,,,,30,5 kg,pièce,,,,Au frais,1 semaine,,,,68e29304062c229af79b9c6f,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Œuf de Dragon (non fertile),Œuf de dragon non fécondé. Extrêmement rare et précieux en cuisine.,,partie_monstre,œuf,Légendaire,Exceptionnelle,Dragons femelles,Dragon,Négociation ou récupération d'un nid abandonné,Très difficile,,,,,Résistance élémentaire temporaire,5000,10 kg,pièce,,,,Température stable,1 an,,,,68e29304062c229af79b9c70,2025-10-05T15:47:16.305000,2025-10-05T15:47:16.305000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sang de Troll,Sang épais et vert qui continue de pulser même après prélèvement. Propriétés régénératives exceptionnelles.,,partie_monstre,fluide,Peu commune,Bonne,Trolls,Troll,Prélèvement pendant que le troll régénère,Difficile,,,,,Régénération rapide,200,100ml,pièce,,,,,Indéfiniment si conservé dans fiole scellée,,,,68e28de1db7453d9d0337cd2,2025-10-05T15:25:21.772000,2025-10-05T15:25:21.772000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cerveau d'Illithid,Cerveau pulsant d'un flagelleur mental. Irradie des ondes psioniques même après la mort.,,partie_monstre,organe,Très rare,Excellente,Flagelleurs mentaux (Illithids),Illithid,Extraction chirurgicale après la mort,Très difficile,,,,,"Pouvoirs psioniques, contrôle mental",5000,500g,pièce,,,,,,,,,68e28de1db7453d9d0337cd3,2025-10-05T15:25:21.772000,2025-10-05T15:25:21.772000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Peau d'Ogre Épaisse,Peau extrêmement résistante d'un ogre. Dure comme du cuir mais trois fois plus épaisse.,,partie_monstre,peau,Commune,Moyenne,Ogres,Ogre,Dépeçage après la mort,Moyen,,,,,,150,5kg,pièce,,,,,,,,,68e28de1db7453d9d0337cd4,2025-10-05T15:25:21.772000,2025-10-05T15:25:21.772000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cheveux de Géant des Collines,Mèches de cheveux épais d'un géant. Chaque fil est fort comme une corde.,,partie_monstre,cheveux,Peu commune,Bonne,Géants des Collines,Géant des Collines,Coupé pendant le sommeil ou après la mort,Difficile,,,,,Confère force surhumaine,1500,500g,pièce,,,,,,,,,68e28de1db7453d9d0337cd5,2025-10-05T15:25:21.772000,2025-10-05T15:25:21.772000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Essence d'Éther,Un liquide translucide qui semble exister entre les plans. Brille faiblement dans l'obscurité.,,autre,,Très rare,Excellente,Plans éthérés,,Condensation magique des vapeurs éthérées,Très difficile,,,,,Permet de lier des enchantements aux objets,500,100ml,pièce,,,,,,,,,68e28de1db7453d9d0337ca4,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Poussière de Mithril,Poudre argentée ultra-fine d'un métal légendaire. Scintille de magie.,,métal_brut,,Légendaire,Exceptionnelle,Mines profondes de Mithril,,Broyage de Mithril pur,Très difficile,,,,,"Renforce les enchantements, réduit le poids",5000,50g,pièce,,,,,,,,,68e28de1db7453d9d0337ca5,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lingot d'Adamantium,Le métal le plus dur connu. Noir profond avec reflets verts.,,lingot,,Légendaire,Exceptionnelle,"Cœur des montagnes, forges infernales",,Extraction extrêmement difficile,Très difficile,,,,,"Indestructible, ignore résistances",10000,500g,pièce,,,,,,,,,68e28de1db7453d9d0337ca6,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cristal de Mana Pur,Cristal bleu lumineux vibrant d'énergie magique pure.,,gemme_brute,,Très rare,Exceptionnelle,Nœuds de lignes telluriques,,Cristallisation magique,Très difficile,,,,,Stocke et amplifie l'énergie magique,1000,100g,pièce,,,,,,,,,68e28de1db7453d9d0337ca7,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Écaille de Dragon Ancien,Écaille massive d'un dragon millénaire. Irradie de pouvoir élémentaire.,,partie_monstre,écaille,Légendaire,Exceptionnelle,Dragons anciens uniquement,Dragon ancien,Récupération après combat épique,Très difficile,,,,,"Résistance élémentaire, protection magique",15000,2kg,pièce,,,,,,,,,68e28de1db7453d9d0337ca8,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cœur de Golem de Pierre,Gemme pulsante au centre d'un golem. Contient son essence animatrice.,,partie_monstre,organe,Rare,Excellente,Golems de pierre,Golem de pierre,Extraction après destruction,Difficile,,,,,"Animation, résistance aux dégâts",800,500g,pièce,,,,,,,,,68e28de1db7453d9d0337ca9,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Œil de Basilic,Œil préservé d'un basilic. Conserve un éclat pétrifiant.,,partie_monstre,œil,Rare,Bonne,Basilics,Basilic,Extraction soigneuse,Difficile,,,,,"Pétrification, paralysie",400,50g,pièce,,,,,,,,,68e28de1db7453d9d0337caa,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dent de Balor,Croc immense d'un seigneur démon. Brûle au toucher.,,partie_monstre,dent,Légendaire,Exceptionnelle,Balors uniquement,Balor,Arrachée après combat légendaire,Très difficile,,,,,"Feu infernal, destruction",12000,1kg,pièce,,,,,,,,,68e28de1db7453d9d0337cab,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Essence Céleste,Lumière liquide récoltée des plans supérieurs. Apaise et guérit.,,autre,,Très rare,Exceptionnelle,Plans célestes,,Condensation de lumière divine,Très difficile,,,,,"Guérison, protection contre le mal",3000,100ml,pièce,,,,,,,,,68e28de1db7453d9d0337cac,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fragment d'Étoile Morte,Morceau de métal stellaire tombé du ciel. Froid au toucher.,,métal_brut,,Légendaire,Exceptionnelle,Météorites,,Récupération de sites d'impact,Très difficile,,,,,"Dégâts radiants, lumière éternelle",8000,300g,pièce,,,,,,,,,68e28de1db7453d9d0337cad,2025-10-05T15:25:21.596000,2025-10-05T15:25:21.596000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Plume de Phénix,"Une plume écarlate et dorée qui brûle d'une flamme éternelle. Extrêmement rare, elle ne peut être obtenue que si le phénix l'offre volontairement.",,partie_animal,plume,Légendaire,Exceptionnelle,Phénix,Phénix,Don volontaire du phénix,Très difficile,,,,,"Résurrection, immunité au feu",15000,5g,pièce,,,,,,,,,68e284755774f0a395e9d98c,2025-10-05T14:45:09.421000,2025-10-05T14:45:09.421000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Griffe de Griffon,Une griffe acérée et résistante d'un griffon.,,partie_animal,griffe,Rare,Bonne,Griffons,Griffon,Récupération après combat,Difficile,,,,,,85,150g,pièce,,,,,,,,,68e284755774f0a395e9d98d,2025-10-05T14:45:09.421000,2025-10-05T14:45:09.421000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dent de Requin des Abysses,Une dent triangulaire noire d'un requin géant des profondeurs.,,partie_animal,dent,Peu commune,Bonne,Requins des abysses,Requin des abysses,Extraction après la mort,Moyen,,,,,,25,50g,pièce,,,,,,,,,68e284755774f0a395e9d98e,2025-10-05T14:45:09.421000,2025-10-05T14:45:09.421000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Toile d'Araignée de Phase,La toile d'une araignée de phase qui peut se déplacer entre les plans.,,partie_monstre,toile,Très rare,Excellente,Araignées de phase,Araignée de phase,Récolte délicate,Très difficile,,,,,Passage entre dimensions,350,10g,pièce,,,,,,,,,68e284755774f0a395e9d98f,2025-10-05T14:45:09.421000,2025-10-05T14:45:09.421000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corne de Licorne,La corne spiralée iridescente d'une licorne. Purifie tout poison.,,partie_monstre,corne,Légendaire,Exceptionnelle,Licornes,Licorne,Don volontaire uniquement,Très difficile,,,,,"Purification universelle, guérison",20000,300g,pièce,,,,,,,,,68e284755774f0a395e9d990,2025-10-05T14:45:09.421000,2025-10-05T14:45:09.421000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sang de Dragon,Le sang épais et brûlant d'un dragon. Conserve sa chaleur même refroidi.,,partie_monstre,fluide,Légendaire,Exceptionnelle,Dragons,Dragon,Prélèvement après combat,Très difficile,,,,,"Immunité au feu, force accrue",10000,100ml,pièce,,,,,,,,,68e284755774f0a395e9d991,2025-10-05T14:45:09.421000,2025-10-05T14:45:09.421000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cœur de Dragon,"Le cœur encore palpitant d'un dragon. Extrêmement rare et puissant, il contient une magie primordiale.",,partie_monstre,cœur,Légendaire,Excellente,Dragons adultes,Dragon,"Extraction immédiate après la mort, avant refroidissement",Très difficile,Dague en mithril,"Conserver dans un fluide magique, ne pas congeler",,,Contient l'essence vitale et magique du dragon,5000,2 kg,pièce,,,,,1 semaine dans fluide magique,,Le cœur de dragon est l'ingrédient le plus recherché par les alchimistes. On dit qu'une seule goutte de sang d'un cœur de dragon peut créer des potions légendaires.,,68e281d8c6f4ec5cd17e2a3d,2025-10-05T14:34:00.733000,2025-10-05T14:34:00.733000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
