name,description,higher_level,level,school,casting_time,range,components,duration,ritual,classes,id,created_date,updated_date,created_by_id,created_by,is_sample
Métamorphose suprême,Vous transformez une créature visible à portée en une forme différente. Une créature non consentante peut faire un jet de Sagesse. La nouvelle forme peut être n'importe quelle créature de FP égal ou inférieur au FP/niveau de la cible. La transformation dure jusqu'à la fin du sort ou jusqu'à ce que la cible tombe à 0 PV.,,9,Transmutation,1 action,9 mètres,,"Concentration, 1 heure",,,68e136fff5cb8ce86c3117df,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Téléportation en groupe,"Vous et jusqu'à huit créatures consentantes vous téléportez vers une destination sur le même plan d'existence. Contrairement à téléportation, il n'y a pas de risque d'accident même avec une destination inconnue.",,7,Conjuration,1 action,3 mètres,,Instantanée,,,68e136fff5cb8ce86c3117d2,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Symbole,"Vous inscrivez un glyphe nuisible sur une surface ou dans un objet. Si le glyphe est dérangé, ceux dans un rayon de 18 mètres doivent faire un jet de sauvegarde. Effets : mort (10d10 nécrotiques), discorde (combat), peur, folie, douleur, sommeil, étourdissement.",,7,Abjuration,1 minute,Contact,,Jusqu'à dissipation,,,68e136fff5cb8ce86c3117d4,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arrêt du temps,Vous arrêtez brièvement le cours du temps pour tout le monde sauf vous. Le temps cesse de s'écouler pour toutes les autres créatures pendant que vous effectuez 1d4+1 tours d'affilée pendant lesquels vous pouvez utiliser vos actions et vous déplacer normalement.,,9,Transmutation,1 action,Personnelle,,Instantanée,,,68e136fff5cb8ce86c3117d9,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Mirage,"Vous créez une illusion affectant le terrain dans un carré de 1,5 km de côté que vous pouvez voir. Vous pouvez modifier l'apparence du terrain, des structures et des créatures. L'illusion touche tous les sens mais une interaction physique révèle sa nature.",,7,Illusion,10 minutes,Vision,,10 jours,,,68e136fff5cb8ce86c3117d3,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cône de froid,"Une explosion d'air froid jaillit de vos mains. Chaque créature dans un cône de 18 mètres doit faire un jet de sauvegarde de Constitution. Une créature subit 8d8 dégâts de froid en cas d'échec, la moitié en cas de réussite.",1d8 supplémentaire par niveau au-delà du 5e.,5,Évocation,1 action,Personnelle (cône 18m),,Instantanée,,,68e136fff5cb8ce86c3117bd,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Création,"Vous créez un objet non magique de matière végétale ou minérale qui tient dans un cube de 1,50 mètre d'arête. L'objet doit être d'une forme simple et ne peut pas avoir de mécanismes. La durée dépend du matériau : végétal 1 jour, pierre/cristal 12 heures, métaux précieux 1 heure, gemmes/métaux 10 minutes.","Le cube augmente de 1,50 mètre par niveau au-delà du 5e.",5,Illusion,1 minute,9 mètres,,Spécial,,,68e136fff5cb8ce86c3117c0,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tremblement de terre,Vous créez une perturbation sismique dans un cercle de 30 mètres de rayon au sol. Chaque créature au sol doit faire un jet de Dextérité ou tomber à terre. Le sol devient un terrain difficile. Structures et créatures peuvent subir des dégâts.,,5,Évocation,1 action,150 mètres,,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117c3,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Changement de plan,"Vous et jusqu'à huit créatures consentantes êtes transportés vers un autre plan d'existence. Vous pouvez spécifier une destination générale ou une destination précise. Pour déplacer une créature non consentante, elle doit rater un jet de Charisme.",,7,Conjuration,1 action,Contact,,Instantanée,,,68e136fff5cb8ce86c3117ce,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Téléportation,"Ce sort vous transporte instantanément à une destination de votre choix, avec jusqu'à huit créatures consentantes. La destination doit être un lieu que vous connaissez sur le même plan d'existence. Plus la destination est familière, plus la téléportation a de chances de réussir.",,5,Conjuration,1 action,3 mètres,,Instantanée,,,68e136fff5cb8ce86c3117be,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Vision suprême,"Vous touchez une créature consentante et lui accordez la capacité de voir les choses telles qu'elles sont vraiment. La cible voit dans les ténèbres normales et magiques, voit les créatures et objets invisibles, détecte les illusions et voit dans le plan éthéré.",,6,Divination,1 action,Contact,,1 heure,,,68e136fff5cb8ce86c3117c9,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Transport végétal,Ce sort crée un lien magique entre une plante de taille G ou supérieure et une autre plante sur le même plan d'existence. Vous devez avoir vu ou touché la plante de destination. Vous et jusqu'à huit créatures apparaissez à côté de la plante de destination.,,6,Conjuration,1 action,3 mètres,,1 round,,,68e136fff5cb8ce86c3117cc,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chaîne d'éclairs,"Vous créez un arc électrique qui bondit vers une cible puis jusqu'à trois autres cibles. Chaque cible doit se trouver à 9 mètres maximum de la précédente. Les cibles font un jet de Dextérité et subissent 10d8 dégâts de foudre en cas d'échec, la moitié en cas de réussite.",1d8 supplémentaire par niveau au-delà du 6e.,6,Évocation,1 action,45 mètres,,Instantanée,,,68e136fff5cb8ce86c3117c6,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Désintégration,"Un mince rayon vert jaillit de votre doigt. Faites une attaque de sort à distance. Si vous touchez, la cible subit 10d6+40 dégâts de force. Si ces dégâts réduisent la cible à 0 point de vie, elle est désintégrée en fine poussière grise.",3d6 supplémentaires par niveau au-delà du 6e.,6,Transmutation,1 action,18 mètres,,Instantanée,,,68e136fff5cb8ce86c3117c7,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Inversion de la gravité,"Ce sort inverse la gravité dans un cylindre de 15 mètres de rayon et 30 mètres de haut centré sur un point à portée. Toutes les créatures et objets qui ne sont pas attachés chutent vers le haut jusqu'au sommet de la zone. Si un objet ou une créature atteint le sommet, elle y reste en flottant.",,7,Transmutation,1 action,30 mètres,,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117d0,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Modification de mémoire,"Vous tentez de remodeler les souvenirs d'une créature. La cible doit réussir un jet de Sagesse. Si elle rate, vous pouvez charmer la créature et modifier jusqu'à 10 minutes de ses souvenirs. Vous pouvez éliminer ou modifier ces souvenirs.","Affecte une minute supplémentaire par niveau au-delà du 5e, ou durée de 10 minutes (6e), 1 heure (7e), 24 heures (8e), permanente (9e).",5,Enchantement,1 action,9 mètres,,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117c4,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Globe d'invulnérabilité,Une barrière immobile et scintillante apparaît dans un rayon de 3 mètres autour de vous. Les sorts de niveau 5 ou inférieur lancés de l'extérieur ne peuvent pas affecter les créatures ou objets à l'intérieur. Le sort ne protège pas contre les sorts de niveau 6 ou supérieur.,Le niveau bloqué augmente de 1 par niveau au-delà du 6e.,6,Abjuration,1 action,Personnelle (sphère 3m),,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117c8,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cercle de mort,"Une sphère d'énergie négative s'étend dans un rayon de 18 mètres depuis un point à portée. Chaque créature dans la zone doit faire un jet de Constitution. Une créature subit 8d6 dégâts nécrotiques en cas d'échec, la moitié en cas de réussite.",2d6 supplémentaires par niveau au-delà du 6e.,6,Nécromancie,1 action,45 mètres,,Instantanée,,,68e136fff5cb8ce86c3117c5,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Boule de feu à retardement,"Un rayon de lumière jaune jaillit de votre doigt et se condense en une perle luisante. Quand le sort se termine, la perle explose avec un grondement sourd. Chaque créature dans une sphère de 6 mètres de rayon subit 12d6 dégâts de feu (jet de Dex pour moitié).",1d6 supplémentaire par niveau au-delà du 7e.,7,Évocation,1 action,45 mètres,,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117cd,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Contact avec un autre plan,"Vous contactez mentalement un esprit d'un autre plan d'existence et lui posez jusqu'à cinq questions. Vous devez poser vos questions avant la fin du sort. Le MJ répond par un mot (oui, non, peut-être, jamais, sans importance). L'esprit peut être cryptique.",,5,Divination,1 minute,Personnelle,,1 minute,TRUE,,68e136fff5cb8ce86c3117c1,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Mur de glace,Vous créez un mur de glace sur une surface solide. Le mur peut être en dôme de 3 mètres de rayon ou en surface plane de dix panneaux de 3x3 mètres. Le mur fait 30 cm d'épaisseur. Les créatures à son emplacement subissent 10d6 dégâts de froid (jet de Dex pour moitié).,2d6 supplémentaires par niveau au-delà du 6e.,6,Évocation,1 action,36 mètres,,"Concentration, 10 minutes",,,68e136fff5cb8ce86c3117ca,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Suggestion de groupe,Vous influencez jusqu'à douze créatures à portée avec une suggestion qui semble raisonnable. Les créatures qui ratent un jet de Sagesse sont charmées et suivent la suggestion. Les activités qui dureraient plus de quelques minutes les occupent pendant toute la durée.,"La durée augmente : 10 jours (7e), 30 jours (8e), 1 an (9e).",6,Enchantement,1 action,18 mètres,,24 heures,,,68e136fff5cb8ce86c3117cb,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Mur de force,"Un mur de force invisible apparaît. Il peut être formé en hémisphère ou en dôme de 3 mètres de rayon, ou en surface composée de dix panneaux de 3x3 mètres. Le mur est immunisé à tous les dégâts et ne peut pas être dissipé.",,5,Évocation,1 action,36 mètres,,"Concentration, 10 minutes",,,68e136fff5cb8ce86c3117bf,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée de Mordenkainen,"Vous créez un plan de force en forme d'épée qui plane à portée. Elle dure pendant toute la durée. Quand l'épée apparaît, faites une attaque de sort au corps à corps contre une cible. Si vous touchez, la cible subit 3d10 dégâts de force. Vous pouvez répéter l'attaque à chaque tour.",,7,Évocation,1 action,18 mètres,,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117cf,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Invoquer un élémentaire,"Vous invoquez un esprit élémentaire qui apparaît dans un espace inoccupé. Choisissez air, terre, feu ou eau. L'élémentaire est amical envers vous et vos compagnons. Il obéit à vos ordres verbaux.","FP 6 (6e niveau), FP 7 (7e niveau), FP 8 (8e niveau), FP 9 (9e niveau).",5,Conjuration,1 minute,27 mètres,,"Concentration, 1 heure",,,68e136fff5cb8ce86c3117c2,2025-10-04T15:02:23.685000,2025-10-04T15:02:23.685000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dissimulation,Vous ou une créature que vous touchez devient invisible jusqu'à la fin du sort. Tout ce que la cible porte ou transporte est invisible tant que c'est sur elle.,,3,Illusion,1 action,Contact,,8 heures,,,68e13660ef6b3299233f2f88,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Minuscule cabane,Un dôme de force immobile de 3 mètres de rayon apparaît autour de vous. Neuf créatures de taille M ou inférieure peuvent tenir dedans. Le sort échoue s'il y a une créature plus grande ou plus de neuf créatures. L'intérieur est confortable et sec.,,3,Évocation,1 minute,Personnelle (hémisphère 3m),,8 heures,TRUE,,68e13660ef6b3299233f2f8b,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Déblocage,"Choisissez un objet que vous pouvez voir : une porte, une boîte, un coffre, des menottes, un cadenas. Toute fermeture ordinaire sur l'objet s'ouvre. Les serrures fermées par verrou arcanique sont supprimées pendant 10 minutes.",,2,Transmutation,1 action,18 mètres,,Instantanée,,,68e13660ef6b3299233f2f82,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Confusion,"Ce sort affecte le comportement des créatures dans une sphère de 3 mètres de rayon. Les créatures affectées ne peuvent pas faire de réactions et agissent de manière aléatoire : attaquent une cible aléatoire, se déplacent aléatoirement ou ne font rien.","Le rayon augmente de 1,50 mètre par niveau au-delà du 4e.",4,Enchantement,1 action,27 mètres,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f91,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Assassin imaginaire,Vous puisez dans les cauchemars d'une créature pour créer une manifestation illusoire de ses pires peurs. La cible subit 4d10 dégâts psychiques (jet de Sagesse pour moitié) au lancement puis à chacun de vos tours.,1d10 supplémentaire par niveau au-delà du 4e.,4,Illusion,1 action,36 mètres,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f93,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Respiration aquatique,Ce sort accorde à un maximum de dix créatures consentantes la capacité de respirer sous l'eau jusqu'à la fin du sort. Les créatures affectées conservent leur mode de respiration normal.,,3,Transmutation,1 action,9 mètres,,24 heures,TRUE,,68e13660ef6b3299233f2f87,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Motif hypnotique,Vous créez un motif de lumières tourbillonnantes dans un cube de 9 mètres d'arête. Les créatures qui ratent un jet de Sagesse sont charmées et ont leur vitesse réduite à 0.,,2,Illusion,1 action,36 mètres,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f81,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Langues,"Une créature touchée comprend toute langue parlée qu'elle entend. De plus, lorsque la cible parle, toute créature qui connaît au moins une langue peut comprendre ce qu'elle dit.",,3,Divination,1 action,Contact,,1 heure,,,68e13660ef6b3299233f2f85,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Terreur,Vous projetez une image fantasmagorique des pires cauchemars d'une créature. Les créatures dans un cône de 9 mètres doivent réussir un jet de Sagesse ou lâcher ce qu'elles tiennent et être effrayées.,,4,Illusion,1 action,Personnelle (cône 9m),,"Concentration, 1 minute",,,68e13660ef6b3299233f2f8f,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tempête de grêle,Des grêlons durs comme la pierre s'abattent dans un cylindre de 6 mètres de rayon et 12 mètres de haut. Chaque créature dans la zone subit 2d8 dégâts contondants et 4d6 dégâts de froid (jet de Dextérité pour moitié).,1d8 contondants supplémentaires par niveau au-delà du 4e.,4,Évocation,1 action,90 mètres,,Instantanée,,,68e13660ef6b3299233f2f8e,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Passage par les arbres,Vous obtenez la capacité d'entrer dans un arbre et de vous déplacer d'un arbre à un autre du même type à 150 mètres maximum. Les deux arbres doivent être vivants et au moins de la même taille que vous.,,5,Conjuration,1 action,Personnelle,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f96,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Animation des morts,"Ce sort crée un serviteur mort-vivant. Choisissez des os ou un cadavre d'un humanoïde de taille M ou P. Le sort imprègne la cible d'une imitation ignoble de vie, créant un squelette ou un zombie. Le mort-vivant devient votre serviteur.",Deux morts-vivants supplémentaires par niveau au-delà du 3e.,3,Nécromancie,1 minute,3 mètres,,Instantanée,,,68e13660ef6b3299233f2f8c,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tentacules noirs,Des tentacules noirs se tordent sur le sol dans un carré de 6 mètres de côté. La zone devient un terrain difficile. Les créatures qui y entrent ou y commencent leur tour subissent 3d6 dégâts contondants et sont entravées (jet de Dex).,1d6 supplémentaire par niveau au-delà du 4e.,4,Conjuration,1 action,27 mètres,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f90,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Restauration partielle,"Vous touchez une créature et pouvez mettre fin à une maladie ou un état (assourdi, aveuglé ou paralysé) qui l'affecte.",,2,Abjuration,1 action,Contact,,Instantanée,,,68e13660ef6b3299233f2f80,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Invoquer des élémentaires mineurs,"Vous invoquez des élémentaires qui apparaissent dans des espaces inoccupés visibles à portée. Choisissez : un élémentaire de FP 2, deux élémentaires de FP 1, quatre élémentaires de FP 1/2, ou huit élémentaires de FP 1/4.",Doublez le nombre de créatures invoquées pour chaque emplacement au-delà du 4e.,4,Conjuration,1 minute,27 mètres,,"Concentration, 1 heure",,,68e13660ef6b3299233f2f8d,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Glyphe de protection,"Vous inscrivez un glyphe qui inflige des dégâts ou lance un sort lorsqu'il est déclenché. Le glyphe est presque invisible. Vous décidez du déclencheur. Si le glyphe inflige des dégâts, choisissez acide, froid, feu, foudre ou tonnerre (5d8 dégâts, jet de Dex pour moitié).","1d8 supplémentaire par niveau au-delà du 3e si dégâts, ou peut stocker un sort d'un niveau supérieur.",3,Abjuration,1 heure,Contact,,Jusqu'à dissipation,,,68e13660ef6b3299233f2f8a,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bannissement,"Vous tentez d'envoyer une créature dans un autre plan d'existence. La cible doit réussir un jet de Charisme ou être bannie. Si la cible est native d'un autre plan, elle y retourne. Sinon, elle va dans un demi-plan inoffensif.",Une créature supplémentaire par niveau au-delà du 4e.,4,Abjuration,1 action,18 mètres,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f92,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Scrutation,"Vous voyez et entendez une créature spécifique que vous choisissez et qui se trouve sur le même plan d'existence. La cible doit faire un jet de Sagesse. Si elle rate, un capteur invisible apparaît à 3 mètres d'elle.",,5,Divination,10 minutes,Personnelle,,"Concentration, 10 minutes",,,68e13660ef6b3299233f2f97,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Mur de pierre,Un mur de pierre non magique apparaît. Le mur fait 15 cm d'épaisseur et comprend dix panneaux de 3 mètres sur 3 mètres. Chaque panneau doit être contigu à au moins un autre. Le mur peut être en forme de dôme ou de sphère.,,5,Évocation,1 action,36 mètres,,"Concentration, 10 minutes",,,68e13660ef6b3299233f2f94,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cercle de téléportation,Vous créez un cercle de téléportation de 3 mètres de diamètre. Choisissez une destination connue. Toute créature qui entre dans le cercle apparaît instantanément à destination et sort du cercle ou à l'espace libre le plus proche.,,3,Conjuration,1 action,3 mètres,,1 round,,,68e13660ef6b3299233f2f86,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dominer un humanoïde,Vous tentez d'ensorceler un humanoïde. Il doit réussir un jet de Sagesse ou être charmé. Vous avez un lien télépathique avec lui. Vous pouvez utiliser ce lien pour donner des ordres à la créature qui fait de son mieux pour les suivre.,"La durée augmente : 10 minutes (6e), 1 heure (7e), 8 heures (8e).",5,Enchantement,1 action,18 mètres,,"Concentration, 1 minute",,,68e13660ef6b3299233f2f95,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tromperie,"Vous devenez invisible au moment même où un double illusoire de vous apparaît à votre place. Le double dure pendant toute la durée, mais l'invisibilité se termine si vous attaquez ou lancez un sort.",,5,Illusion,1 action,Personnelle,,"Concentration, 1 heure",,,68e13660ef6b3299233f2f98,2025-10-04T14:59:44.108000,2025-10-04T14:59:44.108000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
