name,description_text,image_url,type,rarity,quality,market_value,weight,materials,crafting_time,crafting_skill,durability,special_properties,history,creator,uses,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Matériel de brasseur,"Tonneaux, cuves, levures pour brasser bière et alcools.",,Outil,Commun,Moyenne,20,4.5 kg,"Bois, métal, levures",10 jours,Tonnellerie (DC 12),Résistant,"Permet de brasser bière, hydromel et alcools",,,,Utilisé dans les brasseries et tavernes.,68e28b3145e71d2ae9f35655,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Ustensiles de cuisinier,"Marmites, poêles, couteaux, épices pour cuisiner.",,Outil,Commun,Moyenne,1,4 kg,"Fer, bois, épices",3 jours,Forge (DC 9),Résistant,Permet de préparer repas savoureux et identifier nourriture avariée,,,,Utiles pour améliorer le moral en voyage.,68e28b3145e71d2ae9f35656,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de bijoutier,"Loupes, pinces, petits marteaux pour travailler métaux précieux.",,Outil,Commun,Bonne,25,1 kg,"Acier fin, loupes",10 jours,Orfèvrerie (DC 14),Normal,Permet d'évaluer gemmes et créer bijoux,,,,Précieux pour identifier trésors.,68e28b3145e71d2ae9f35657,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de cartographe,"Compas, règles, encres pour créer cartes précises.",,Outil,Commun,Moyenne,15,3 kg,"Instruments de mesure, encres, papiers",7 jours,Artisanat (DC 12),Normal,Permet de créer cartes précises,,,,Essentiels pour les explorateurs.,68e28b3145e71d2ae9f35658,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de tisserand,"Métier à tisser portable, aiguilles, fils.",,Outil,Commun,Moyenne,1,2.5 kg,"Bois, aiguilles, fils",5 jours,Menuiserie (DC 10),Normal,Permet de créer tissus et vêtements,,,,Utilisés pour réparer vêtements en voyage.,68e28b3145e71d2ae9f35659,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de potier,"Tour de potier portable, argile, outils de modelage.",,Outil,Commun,Moyenne,10,1.5 kg,"Bois, métal, argile",5 jours,Menuiserie (DC 10),Fragile,Permet de créer récipients en céramique,,,,Pratique pour créer contenants.,68e28b3145e71d2ae9f3565a,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de calligraphe,"Plumes, encres, papiers fins pour écriture artistique.",,Outil,Commun,Moyenne,10,2.5 kg,"Plumes, encres, papiers",3 jours,Artisanat (DC 10),Normal,Permet de copier textes et créer documents,,,,Utilisés par les scribes et érudits.,68e28b3145e71d2ae9f3565b,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de peintre,"Pinceaux, palette, pigments pour peindre.",,Outil,Commun,Moyenne,10,2.5 kg,"Bois, poils, pigments",4 jours,Artisanat (DC 10),Normal,Permet de créer peintures et fresques,,,,Utilisés par les artistes.,68e28b3145e71d2ae9f3565c,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Instruments de navigation,"Sextant, compas, cartes pour navigation maritime.",,Outil,Peu commun,Bonne,25,1 kg,"Laiton, verre, papier",15 jours,Artisanat de précision (DC 15),Normal,Empêche de se perdre en mer,,,,Essentiels pour les marins.,68e28b3145e71d2ae9f3565d,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Instruments de musique - Luth,"Instrument à cordes pincées, favori des bardes.",,Instrument,Commun,Moyenne,35,1 kg,"Bois, cordes",10 jours,Lutherie (DC 14),Fragile,Peut servir de focus pour bardes,,,,Instrument le plus populaire pour les bardes.,68e28b3145e71d2ae9f3565e,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Instruments de musique - Flûte,Instrument à vent simple et portable.,,Instrument,Commun,Moyenne,2,0.5 kg,Bois ou métal,3 jours,Menuiserie (DC 11),Normal,Peut servir de focus pour bardes,,,,Instrument simple et abordable.,68e28b3145e71d2ae9f3565f,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Instruments de musique - Tambour,"Percussion simple, utilisée pour rythme et signaux.",,Instrument,Commun,Moyenne,6,1.5 kg,Bois et peau tendue,4 jours,Artisanat (DC 10),Résistant,Peut servir de focus pour bardes,,,,Utilisé dans les armées et tribus.,68e28b3145e71d2ae9f35660,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Instruments de musique - Cornemuse,"Instrument à vent complexe, typique des highlands.",,Instrument,Commun,Moyenne,30,3 kg,"Cuir, bois, anche",12 jours,Artisanat (DC 14),Normal,Peut servir de focus pour bardes,,,,Instrument puissant et distinctif.,68e28b3145e71d2ae9f35661,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Livre vierge,Livre relié avec pages vierges pour notes.,,Livre,Commun,Moyenne,25,2.5 kg,"Papier, cuir, reliure",7 jours,Reliure (DC 12),Normal,,,,,"Utilisé par magiciens, érudits, aventuriers pour notes.",68e28b3145e71d2ae9f35662,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Livre de sorts vierge,Livre spécial avec pages enchantées pour sorts.,,Livre,Peu commun,Bonne,50,1.5 kg,"Parchemin enchanté, couverture renforcée",15 jours,Enchantement (DC 15),Résistant,100 pages pouvant contenir sorts de magicien,,,,Essentiel pour les magiciens. Vendu par scribes spécialisés.,68e28b3145e71d2ae9f35663,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Encre (fiole),Encre noire standard pour écriture.,,Outil,Commun,Moyenne,10,0.05 kg,"Suie, gomme, eau",1 jour,Alchimie (DC 8),Normal,,,,,Nécessaire pour écrire. Vendue par scribes et marchands.,68e28b3145e71d2ae9f35664,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Plume d'écriture,Plume taillée pour écriture fine.,,Outil,Commun,Moyenne,0.02,0.01 kg,Plume d'oiseau,10 minutes,Artisanat (DC 5),Fragile,,,,,Basique mais nécessaire pour écrire.,68e28b3145e71d2ae9f35665,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Parchemin (feuille),Feuille de parchemin pour écriture ou sorts.,,Outil,Commun,Moyenne,0.1,0.01 kg,Peau animale traitée,2 jours,Parchemin (DC 10),Fragile,,,,,"Utilisé pour lettres, contrats, parchemins de sorts.",68e28b3145e71d2ae9f35666,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pain (miche),Pain frais ou de voyage.,,Nourriture,Commun,Moyenne,0.02,0.25 kg,"Farine, eau, levure",3 heures,Cuisine (DC 8),Fragile,,,,,Disponible dans toutes les villes et villages.,68e28b3145e71d2ae9f35642,2025-10-05T15:13:53.401000,2025-10-05T15:13:53.401000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fromage (morceau),Fromage à pâte dure qui se conserve bien.,,Nourriture,Commun,Moyenne,0.1,0.25 kg,Lait fermenté et pressé,30 jours (affinage),Fromagerie (DC 10),Normal,,,,,Excellent pour les voyages. Se garde longtemps.,68e28b3145e71d2ae9f35643,2025-10-05T15:13:53.401000,2025-10-05T15:13:53.401000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Vin (cruche),Vin ordinaire ou de qualité selon le prix.,,Boisson,Commun,Moyenne,0.2,2.5 kg,Raisins fermentés,60 jours (fermentation minimum),Vinification (DC 12),Normal,Contient 2 litres,,,,Disponible dans toutes les auberges et marchés.,68e28b3145e71d2ae9f35644,2025-10-05T15:13:53.401000,2025-10-05T15:13:53.401000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bière (cruche),"Bière légère, boisson quotidienne commune.",,Boisson,Commun,Moyenne,0.04,2.5 kg,"Orge, houblon, eau",14 jours (fermentation),Brassage (DC 10),Normal,Contient 2 litres,,,,La boisson la plus commune. Partout disponible.,68e28b3145e71d2ae9f35645,2025-10-05T15:13:53.401000,2025-10-05T15:13:53.401000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sacoche de composantes,Petite sacoche contenant des composantes matérielles pour sorts.,,Outil,Commun,Moyenne,25,1 kg,Cuir et diverses composantes,2 jours,Travail du cuir (DC 10),Normal,Contient composantes matérielles génériques pour sorts,,,,Essentielle pour les lanceurs de sorts. Vendue chez les alchimistes.,68e28b3145e71d2ae9f35646,2025-10-05T15:13:53.401000,2025-10-05T15:13:53.401000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bâton de marche,Bâton en bois robuste pour la marche.,,Outil,Commun,Moyenne,0.2,2 kg,Bois dur,2 heures,Menuiserie (DC 8),Résistant,,,,,Outil de base très polyvalent.,68e28b3145e71d2ae9f35647,2025-10-05T15:13:53.401000,2025-10-05T15:13:53.401000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée courte,"Une lame droite d'environ 60 cm, légère et maniable.",,Arme,Commun,Moyenne,10,1 kg,Acier,1 jour,Forge (DC 11),Résistant,"1d6 dégâts perforants, finesse, légère",,,,Disponible chez tous les forgerons et marchands d'armes.,68e28b3145e71d2ae9f3560a,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Hache d'armes,"Une hache de combat polyvalente, utilisable à une ou deux mains.",,Arme,Commun,Moyenne,10,2 kg,Acier et bois,2 jours,Forge (DC 12),Résistant,"1d8 dégâts tranchants, polyvalente (1d10)",,,,Arme favorite des guerriers du Nord.,68e28b3145e71d2ae9f3560b,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Hache à deux mains,Une massive hache de guerre nécessitant les deux mains.,,Arme,Commun,Moyenne,30,3.5 kg,Acier et bois renforcé,3 jours,Forge (DC 13),Résistant,"1d12 dégâts tranchants, lourde, deux mains",,,,Arme de prédilection des barbares.,68e28b3145e71d2ae9f3560c,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Marteau de guerre,"Un marteau lourd conçu pour le combat, efficace contre les armures.",,Arme,Commun,Moyenne,15,1 kg,Acier et bois,2 jours,Forge (DC 12),Très résistant,"1d8 dégâts contondants, polyvalent (1d10)",,,,Populaire chez les nains et les clercs.,68e28b3145e71d2ae9f3560d,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Masse d'armes,"Une masse hérissée de pointes, dévastatrice contre les armures.",,Arme,Commun,Moyenne,5,2 kg,Fer et bois,1 jour,Forge (DC 10),Résistant,1d6 dégâts contondants,,,,Arme simple mais efficace.,68e28b3145e71d2ae9f3560e,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fléau d'armes,Une arme composée d'une chaîne reliée à une tête hérissée.,,Arme,Commun,Moyenne,10,1 kg,Acier et chaîne,2 jours,Forge (DC 13),Normal,1d8 dégâts contondants,,,,Difficile à maîtriser mais très efficace.,68e28b3145e71d2ae9f3560f,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rapière,Une fine épée d'estoc privilégiant la précision à la force.,,Arme,Commun,Moyenne,25,1 kg,Acier de qualité,3 jours,Forge (DC 14),Normal,"1d8 dégâts perforants, finesse",,,,Arme élégante des duellistes et roublards.,68e28b3145e71d2ae9f35610,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cimeterre,"Une épée courbée au tranchant acéré, légère et rapide.",,Arme,Commun,Moyenne,25,1.5 kg,Acier courbé,3 jours,Forge (DC 13),Résistant,"1d6 dégâts tranchants, finesse, légère",,,,Populaire dans les déserts et chez les pirates.,68e28b3145e71d2ae9f35611,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée à deux mains,Une énorme épée nécessitant force et entraînement.,,Arme,Commun,Moyenne,50,3 kg,Acier de qualité,5 jours,Forge (DC 15),Très résistant,"2d6 dégâts tranchants, lourde, deux mains",,,,L'arme des grands guerriers et champions.,68e28b3145e71d2ae9f35612,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pique,Une longue lance à deux mains avec large fer de lance.,,Arme,Commun,Moyenne,5,9 kg,Bois et fer,2 jours,Menuiserie (DC 10),Normal,"1d10 dégâts perforants, lourde, allonge, deux mains",,,,Utilisée par les formations de piquiers.,68e28b3145e71d2ae9f35613,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lance,Une arme d'hast polyvalente utilisable de près ou lancée.,,Arme,Commun,Moyenne,1,1.5 kg,Bois et fer,1 jour,Menuiserie (DC 8),Normal,"1d6 dégâts perforants, lancer (portée 6/18 m), polyvalente (1d8)",,,,L'arme la plus basique et universelle.,68e28b3145e71d2ae9f35614,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Hallebarde,"Une arme combinant hache, lance et crochet sur un long manche.",,Arme,Commun,Moyenne,20,3 kg,Acier et bois dur,4 jours,Forge (DC 14),Résistant,"1d10 dégâts tranchants, lourde, allonge, deux mains",,,,Arme favorite des gardes et soldats.,68e28b3145e71d2ae9f35615,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arc court,Un arc compact idéal pour le combat rapproché.,,Arme,Commun,Moyenne,25,1 kg,Bois flexible et corde,3 jours,Artisanat d'arc (DC 12),Normal,"1d6 dégâts perforants, munitions, portée 24/96 m, deux mains",,,,Utilisé par les éclaireurs et chasseurs.,68e28b3145e71d2ae9f35616,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arbalète légère,Une arbalète compacte facile à recharger.,,Arme,Commun,Moyenne,25,2.5 kg,"Bois, métal et mécanisme",5 jours,Menuiserie fine (DC 14),Normal,"1d8 dégâts perforants, munitions, chargement, portée 24/96 m, deux mains",,,,Ne nécessite pas de force particulière.,68e28b3145e71d2ae9f35617,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arbalète lourde,Une puissante arbalète nécessitant un mécanisme de rechargement.,,Arme,Commun,Moyenne,50,9 kg,"Bois renforcé, acier et mécanisme",10 jours,Menuiserie fine (DC 16),Résistant,"1d10 dégâts perforants, munitions, chargement, lourde, portée 30/120 m, deux mains",,,,Utilisée pour les sièges et contre les armures lourdes.,68e28b3145e71d2ae9f35618,2025-10-05T15:13:53.400000,2025-10-05T15:13:53.400000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
